GEOID,median_household_income,rent_burden_35_plus_share,renter_occupied_units,total_housing_units,unemployment_rate_proxy,median_gross_rent,poverty.rate,depression_among_adults,fair_poor_health_status,frequent_mental_distress,high_eviction_risk
01015000400,33384,0.5613577023498695,383,1554,0.0853080568720379,671,23.02,22.7,39.0,20.1,0
01015000500,21648,0.2480620155038759,129,858,0.2564935064935065,719,53.95,20.7,44.7,20.5,1
01015000600,15000,0.5839793281653747,387,1016,0.1072874493927125,455,60.53,24.6,40.9,24.2,1
01015000700,38580,0.1788079470198675,755,1402,0.0449735449735449,696,28.39,24.7,32.4,20.7,1
01015000800,31667,0.3132911392405063,316,675,0.1176470588235294,689,25.94,29.3,35.8,23.9,0
01015000900,82319,0.1769436997319035,373,1877,0.0434304562946674,928,21.67,20.7,19.1,13.0,0
01015001000,75806,0.1235955056179775,890,2795,0.0186625194401244,848,7.29,21.2,19.0,14.6,0
01015001201,41777,0.1055555555555555,360,1502,0.0591032608695652,789,22.41,22.7,27.7,17.2,1
01015001202,62963,0.4355670103092783,388,1912,0.0236738272687417,1071,7.6,26.0,29.7,19.7,1
01015001300,36111,0.1115241635687732,269,845,0.2106768350810295,774,17.77,28.1,31.0,21.4,1
01015001400,43469,0.0275482093663911,363,1484,0.1081409477521263,736,13.36,25.4,29.6,19.3,1
01015001600,39987,0.2082191780821917,365,1783,0.0769724182168056,811,25.36,26.5,29.6,20.5,0
01015001700,70221,0.265625,512,2645,0.082289197426346,941,4.81,23.0,22.9,16.9,1
01015002101,19688,0.2998965873836608,967,1463,0.1281767955801105,718,25.73,27.8,26.2,27.8,0
01015002102,59121,0.2816326530612245,245,1703,0.0391322841344108,836,15.94,24.1,19.7,16.5,0
01015002200,50400,0.0526315789473684,228,1721,0.0600333518621456,675,21.58,25.3,26.7,17.8,0
01015002300,50975,0.1746575342465753,584,1848,0.0545454545454545,693,25.49,25.7,25.4,18.6,1
01015002400,50896,0.1066176470588235,272,1975,0.080503144654088,1020,8.79,25.5,22.8,17.6,0
01015002502,64094,0.0584795321637426,171,1865,0.0325770796974985,1095,7.98,25.4,23.8,17.5,0
01015002600,69746,0.1,190,2073,0.125,748,6.97,25.9,26.1,18.2,0
01015981901,-666666666,0.1923076923076923,0,0,0.0426874536005939,-666666666,0.0,23.2,19.4,16.95,0
01015981902,-666666666,0.1923076923076923,0,0,0.0426874536005939,-666666666,0.0,23.2,19.4,16.95,0
01015981903,-666666666,0.1923076923076923,0,0,0.0426874536005939,-666666666,0.0,23.2,19.4,16.95,0
01017953800,42373,0.1201550387596899,258,1928,0.0366642703091301,-666666666,17.99,22.8,28.1,17.0,0
01017953900,49570,0.1869158878504672,428,1382,0.0397686189443239,866,23.27,22.4,30.7,19.6,0
01017954200,50875,0.010204081632653,196,1440,0.0199353448275862,794,13.96,23.4,22.9,17.8,1
01017954300,59147,0.1073008849557522,904,2801,0.0209790209790209,1044,14.77,21.7,22.9,17.4,0
01017954600,42248,0.184090909090909,440,1541,0.0239906377998829,846,13.76,25.1,29.9,19.7,1
01017954700,58493,0.3290322580645161,310,2045,0.0188073394495412,891,15.83,24.4,27.0,19.3,1
01019955701,42295,0.0784982935153583,293,2220,0.0693467336683417,647,20.36,25.9,29.8,18.6,0
01019955702,49010,0.0141342756183745,283,2010,0.0404721753794266,769,23.27,24.9,23.4,17.0,0
01019955900,65104,0.0,206,1863,0.0389930898321816,680,18.92,25.1,22.3,17.3,0
01019956000,42183,0.1017316017316017,462,2494,0.0422857142857142,656,10.11,23.9,24.1,16.1,0
01021060101,58750,0.1425414364640884,905,2195,0.0372549019607843,1027,9.54,23.9,26.0,18.6,0
01021060200,83819,0.1235294117647058,170,1265,0.0613718411552346,815,14.42,24.9,21.3,17.7,0
01021060300,62902,0.1107266435986159,289,1822,0.0556768558951965,828,12.39,25.3,24.1,18.1,0
01021060401,66430,0.0656167979002624,381,2211,0.0367008681925809,830,12.83,24.3,20.1,17.5,0
01021060500,49938,0.2051282051282051,273,1493,0.0303239145416953,563,10.14,24.6,25.4,18.7,0
01021060600,77500,0.0671641791044776,134,1585,0.0269286754002911,595,16.86,25.0,23.8,18.0,0
01023956700,46131,0.02,150,1660,0.1019607843137254,-666666666,19.7,20.5,33.7,17.7,0
01023956800,40935,0.2342105263157894,380,2327,0.036504424778761,569,14.53,23.9,31.1,18.0,0
01023956900,41741,0.222707423580786,229,1996,0.0591397849462365,757,8.38,26.3,29.7,19.0,0
01023957000,54333,0.1475409836065573,183,1155,0.015531660692951,660,31.74,21.7,25.8,16.9,0
01025957500,53250,0.0,63,751,0.0206677265500794,-666666666,14.01,23.8,27.4,17.4,0
01025957601,55268,0.0,66,491,0.0601719197707736,-666666666,15.75,25.7,30.2,19.7,0
01025957700,29132,0.1123595505617977,89,870,0.2226980728051391,646,28.91,22.6,31.5,17.8,0
01025957800,42271,0.0625,400,2491,0.1053427419354838,741,19.49,22.4,28.4,18.0,0
01025957901,57415,0.3583617747440273,293,1517,0.1472346786248131,753,16.59,23.4,25.8,17.1,0
01025957902,52927,0.2300884955752212,339,1780,0.1914396887159533,672,17.4,21.7,28.2,17.2,0
01027958900,47500,0.1533219761499148,587,3011,0.07336827060505,648,6.18,24.3,29.3,18.4,0
01027959000,33517,0.068235294117647,425,1409,0.06948109058927,391,17.16,24.1,30.6,18.6,0
01027959100,62464,0.0,109,1560,0.0251924422673198,637,16.76,25.3,23.5,17.7,0
01027959200,51324,0.0,67,1060,0.056441717791411,840,18.67,23.6,22.3,17.1,0
01029959500,47813,0.0829268292682926,205,1262,0.0472027972027972,930,8.93,26.9,27.4,19.6,0
